16,1000000000,1000000000
32,1000000000,1000000000
48,1000000000,1000000000
64,1000000000,1000000000
80,1000000000,1000000000
96,1000000000,1000000000
112,1000000000,1000000000
128,1000000000,1000000000
144,1000000000,1000000000
160,1000000000,1000000000
176,1000000000,1000000000
192,1000000000,1000000000
208,1000000000,1000000000
224,1000000000,1000000000
240,1000000000,1000000000
256,1000000000,1000000000
272,1000000000,1000000000
288,1000000000,1000000000
304,1000000000,1000000000
320,1000000000,1000000000
336,1000000000,1000000000
352,1000000000,1000000000
368,1000000000,1000000000
384,1000000000,1000000000
400,1000000000,1000000000
416,1000000000,1000000000
432,1000000000,1000000000
464,1000000000,1000000000
480,1000000000,1000000000
496,1000000000,1000000000
